2025-06-04 09:33:46
Parameters:
init_smi: CC
program_name: cc
output_path: .\case3\results
pocket_file: .\case3\imatinib_pocket6A.pdb
lr: 0.01
lr_decrease: 0.1
batch_size: 64
gamma: 1.0
learning_iter: 1
target_iter: 10
memory_capacity: 1000
max_episode: 8000
max_step: 5
epsilon: 0.95
epsilon_increase: 0.05
Objective_properties: ['SAscore', 'QED', 'Affinity']

Episode,SAscore,QED,Affinity,SMILES
137,0.683,0.453,4.575,C=C(C#N)CN
138,0.552,0.387,4.526,C1CONN1
139,0.677,0.472,4.901,CCC(N)(O)OC
140,0.723,0.341,4.699,CCONN
141,0.723,0.341,4.699,CCONN
142,0.817,0.392,5.011,CC(=O)ON
143,0.916,0.385,3.839,CCC
144,0.806,0.454,4.481,CC(C)ON
145,0.793,0.429,4.29,CCON
146,0.712,0.347,4.281,C=CC(=N)O
147,0.616,0.276,5.137,NCC(O)ON
148,0.829,0.4,4.499,C=CCCCN
149,0.806,0.373,3.821,CC
150,0.872,0.466,4.367,CCCCC#N
151,0.723,0.341,4.699,CCONN
152,0.723,0.341,4.699,CCONN
153,0.723,0.341,4.699,CCONN
154,0.638,0.248,4.957,CCC(O)ONN
155,0.723,0.341,4.699,CCONN
156,0.594,0.236,5.084,CC(O)ON(N)O
157,0.739,0.348,4.349,CNOCCN
158,0.612,0.309,4.317,C=C(C)ON=N
159,0.723,0.341,4.699,CCONN
160,0.746,0.408,4.4,NCCON
161,0.723,0.341,4.699,CCONN
162,0.669,0.274,4.754,CCC(=N)ON
163,0.775,0.413,4.075,CNC(C)O
164,0.792,0.479,4.336,CCCON
165,0.723,0.341,4.699,CCONN
166,0.819,0.403,4.016,CCC=O
167,0.842,0.487,3.965,CCC(C)O
168,0.793,0.315,4.186,CCNN
169,0.723,0.341,4.699,CCONN
170,0.61,0.264,4.695,C=CONN
171,0.821,0.488,4.105,CC(=O)C(C)O
172,0.819,0.403,4.016,CCC=O
173,0.739,0.348,4.349,CNOCCN
174,0.721,0.275,5.702,NNCC(=O)ON
175,0.659,0.306,4.678,CCONN=O
176,0.631,0.34,5.09,CCC(O)ONO
177,0.669,0.385,4.722,CCON=N
178,0.698,0.222,4.713,C=CCON=O
179,0.723,0.341,4.699,CCONN
180,0.537,0.285,4.392,C=NNOC(C)N
181,0.872,0.466,4.367,CCCCC#N
182,0.723,0.341,4.699,CCONN
183,0.631,0.34,5.09,CCC(O)ONO
184,0.691,0.221,4.536,NCCONN
185,0.723,0.341,4.699,CCONN
186,0.817,0.402,3.958,CC(C)=N
187,0.723,0.341,4.699,CCONN
188,0.717,0.352,3.973,NC=O
189,0.679,0.388,4.513,CCNNO
190,0.723,0.341,4.699,CCONN
191,0.616,0.276,5.137,NCC(O)ON
192,0.745,0.431,4.274,CNCC#N
193,0.76,0.419,4.423,N=CC(=O)O
194,0.724,0.24,4.314,N#CC(=N)O
195,0.602,0.299,5.5,C=C(N)C(O)ON
196,0.584,0.18,4.529,N=CCONN
197,0.731,0.453,4.744,CCONO
198,0.7,0.229,4.473,CCCOOC#N
199,0.655,0.407,4.78,C=C(N)CON=O
200,0.718,0.39,4.69,CCNNOCC
201,0.657,0.277,3.99,C#CC=O
202,0.712,0.43,3.977,CC=CN
203,0.727,0.413,4.004,CC=CO
204,0.795,0.259,4.354,N=C(N)O
205,0.793,0.315,4.186,CCNN
206,0.691,0.447,4.217,C=C(C)C=N
207,0.793,0.429,4.29,CCON
208,0.613,0.416,4.602,N#CC(N)C=O
209,0.857,0.406,4.27,NCCO
210,0.734,0.415,4.621,CC(N)=CN
211,0.65,0.366,4.019,C=C=CC
212,0.704,0.435,3.952,CCC=N
213,0.669,0.446,4.643,C=CC(O)CN
214,0.817,0.392,5.011,CC(=O)ON
215,0.77,0.422,4.253,CC(=N)CO
216,0.652,0.42,4.418,CC#CC(C)N
217,0.736,0.377,4.633,NCC(N)CO
218,0.664,0.263,4.659,CCC#CC(=N)O
219,0.762,0.496,4.165,CCOC(C)O
220,0.692,0.363,4.332,CC=NC
221,0.672,0.391,4.523,CC=C(O)CON
