2025-06-04 16:47:59
Parameters:
init_smi: Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12
program_name: ZM241385
output_path: .\case4\results
pocket_file: .\case4\ZM241385_pocket6A.pdb
lr: 0.01
lr_decrease: 0.1
batch_size: 64
gamma: 1.0
learning_iter: 1
target_iter: 10
memory_capacity: 1000
max_episode: 4000
max_step: 5
epsilon: 0.95
epsilon_increase: 0.05
Objective_properties: ['SAscore', 'QED', 'Affinity']

Episode,SAscore,QED,Affinity,SMILES
48,0.749,0.306,7.969,COc1ccc(CCN(N)c2nc(NO)n3nc(-c4oc(C)cc4C)nc3n2)cc1
49,0.562,0.22,7.155,Oc1ccc(-c2nc3nc4nc(n3n2)NC(Cc2cc(O)c(O)cc2O)N4)o1
50,0.69,0.35,8.068,C=C1CN(c2nc(N)n3nc(-c4occ(C)c4O)nc3n2)c2cc(OO)ccc21
51,0.731,0.216,8.244,Cc1cc(OO)ccc1C#CNc1nc(N)n2nc(-c3ccco3)nc2n1
52,0.647,0.417,8.358,COOc1ccc(CC2=Nc3nc(nc4nc(-c5ccco5)nn34)N2)c(C)c1
53,0.561,0.18,9.091,Nc1cc(OO)c2cc1C(O)C(N)N2c1nc(N)n2nc(-c3ccco3)nc2n1
54,0.726,0.285,7.836,Cc1cc(OO)ccc1C(O)CNc1nc(N)n2nc(-c3ccco3)nc2n1
55,0.762,0.415,8.356,Nc1nc(NCC(O)c2ccc(O)cc2)nc2nc(-c3ccco3)nn12
56,0.402,0.425,7.937,Nc1ccoc1-c1nc2nc3nc(n2n1)NC1(Cc2cc1c1cc2OO1)N3
57,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
58,0.759,0.219,7.723,Cc1cc(OO)cc(N)c1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
59,0.803,0.35,7.578,Nc1nc(NCCc2ccc(OO)cc2)nc2nc(-c3ccco3)nn12
60,0.718,0.155,8.188,NNc1nc(NCC(O)c2ccc(O)cc2N)nc2nc(-c3ccco3)nn12
61,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
62,0.746,0.276,7.37,CNc1nc(NCCc2ccc(OO)cc2)nc2nc(-c3cc(N)co3)nn12
63,0.784,0.402,8.136,Cc1cc(OO)ccc1CCNc1ncn2nc(-c3ccco3)nc2n1
64,0.704,0.519,8.109,C=COc1ccc2c(c1)CC(N(C)c1nc(N)n3nc(-c4ccco4)nc3n1)C2
65,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
66,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
67,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
68,0.624,0.443,7.902,Nc1nc(NCCC2=CC3=C(OO)C=C2C3)nc2nc(-c3ccco3)nn12
69,0.67,0.348,7.196,Nc1c2ccc(CCNc3nc(N)n4nc(-c5ccco5)nc4n3)c1OO2
70,0.713,0.224,8.075,Cc1ccc(OO)c(N(C)c2nc(NN)n3nc(-c4occc4N)nc3n2)c1
71,0.628,0.218,7.509,N=C(CNc1nc(N)n2nc(-c3oc4cc3CC4)nc2n1)c1ccc(OO)cc1
72,0.678,0.255,7.992,Cc1cc(OO)ccc1CC(O)N(O)c1ncn2nc(-c3ccco3)nc2n1
73,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
74,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
75,0.554,0.29,8.284,CC(CNc1nc(N)n2nc(-c3ccco3)nc2n1)c1cc2c#cc1cc2OO
76,0.66,0.509,7.746,Nc1nc(NCCc2ccc3cc2COO3)nc2nc(-c3ccco3)nn12
77,0.697,0.214,7.889,ONc1nc(NCC(OOO)c2ccc(O)cc2)nc2nc(-c3ccco3)nn12
78,0.758,0.285,8.793,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccc(N)o3)nc2n1
79,0.743,0.302,7.518,Cc1cc(CN)c(-c2nc3nc(NCC(=N)c4ccc(O)cc4)nc(N)n3n2)o1
80,0.645,0.517,7.58,Nc1nc(NC2Cc3ccc(O)c2c3)nc2nc(-c3ccco3)nn12
81,0.73,0.291,6.919,COc1ccc(CCNc2nc(N=O)n3nc(-c4cc(N=N)c(O)o4)nc3n2)cc1
82,0.74,0.188,7.004,CNc1oc(-c2nc3nc(NCCc4ccc(OO)cc4)nc(N)n3n2)c(O)c1O
83,0.775,0.271,7.773,Nc1nc(NCCc2ccc(OO)cc2CO)nc2nc(-c3ccco3)nn12
84,0.698,0.128,7.758,C=C(Cc1ccc(OO)cc1N)N(N)c1nc(NO)n2nc(-c3ccco3)nc2n1
85,0.803,0.35,7.578,Nc1nc(NCCc2ccc(OO)cc2)nc2nc(-c3ccco3)nn12
86,0.657,0.232,8.456,NCc1c(OO)c2cc(CCNc3nc(N)n4nc(-c5ccco5)nc4n3)c1o2
87,0.687,0.244,7.492,C=Nc1nc(NCC(O)c2ccc(OO)cc2C)nc2nc(-c3ccco3)nn12
88,0.56,0.59,8.305,C=C1C2Oc3ccc2c(c3)N1c1nc(N)n2nc(-c3ccco3)nc2n1
89,0.602,0.314,8.679,N#Cc1c2ccc(O)c1NNC2CNc1nc(N)n2nc(-c3ccco3)nc2n1
90,0.592,0.366,8.804,CC(Cc1ccc(OO)cc1)N1c2nc(n3nc(-c4ccco4)nc3n2)N1OO
91,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
